supplierId,orderDate,supplyDate,deliveringMethod,supplyMethod,contactName,phone,address,email,totalPrice,products
1,07/04/2025,08/04/2025,PICK_UP,SCHEDULED,John,0521112233,Haifa,john@example.com,306.54,1:4;16:2;7:4;16:2
2,21/04/2025,26/04/2025,SELF_DELIVERING,SCHEDULED,David,0501234567,Tel Aviv,david@example.com,232.22,17:9;3:5;5:7
5,05/04/2025,12/04/2025,SELF_DELIVERING,ON_DEMAND,Sara,0507654321,Jerusalem,sara@example.com,438.99,20:5;5:4;20:1
5,02/04/2025,06/04/2025,PICK_UP,ON_DEMAND,Noa,0549988776,Beer Sheva,noa@example.com,154.2,12:10;8:7
5,17/04/2025,25/04/2025,PICK_UP,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,242.09,12:9;1:5;9:5
2,21/04/2025,28/04/2025,PICK_UP,ON_DEMAND,Noa,0549988776,Beer Sheva,noa@example.com,431.01,12:10;8:2;17:4;3:6
5,03/04/2025,06/04/2025,PICK_UP,ON_DEMAND,David,0501234567,Tel Aviv,david@example.com,176.31,7:6;4:10;18:8
5,30/03/2025,01/04/2025,PICK_UP,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,121.91,14:6;10:9
5,29/03/2025,05/04/2025,PICK_UP,SCHEDULED,John,0521112233,Haifa,john@example.com,257.67,15:3;19:8
4,21/04/2025,22/04/2025,PICK_UP,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,92.36,18:7;11:6;6:3
2,04/04/2025,10/04/2025,SELF_DELIVERING,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,342.24,9:3;9:7;15:3
1,13/04/2025,23/04/2025,PICK_UP,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,326.67,3:2;4:8
4,21/04/2025,28/04/2025,PICK_UP,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,379.21,3:1;11:8;18:9
3,24/04/2025,01/05/2025,PICK_UP,ON_DEMAND,Noa,0549988776,Beer Sheva,noa@example.com,417.44,1:4;18:1
1,01/04/2025,05/04/2025,PICK_UP,ON_DEMAND,Liam,0533455667,Eilat,liam@example.com,92.0,4:6;9:5
2,17/04/2025,22/04/2025,PICK_UP,SCHEDULED,Sara,0507654321,Jerusalem,sara@example.com,438.54,7:9;3:7;8:1;9:6
2,19/04/2025,26/04/2025,PICK_UP,ON_DEMAND,Sara,0507654321,Jerusalem,sara@example.com,326.99,9:8;1:10;17:1
5,09/04/2025,18/04/2025,SELF_DELIVERING,ON_DEMAND,John,0521112233,Haifa,john@example.com,315.81,8:3;6:2;4:3;16:10
1,28/03/2025,29/03/2025,PICK_UP,SCHEDULED,Liam,0533455667,Eilat,liam@example.com,345.46,6:8;2:3;11:1
3,13/04/2025,22/04/2025,PICK_UP,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,277.49,8:5;7:5
1,15/04/2025,21/04/2025,PICK_UP,SCHEDULED,Liam,0533455667,Eilat,liam@example.com,282.26,10:9;3:1
4,19/04/2025,20/04/2025,SELF_DELIVERING,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,392.02,11:9;7:9;1:8;20:2
1,24/04/2025,01/05/2025,PICK_UP,SCHEDULED,David,0501234567,Tel Aviv,david@example.com,118.4,13:9;11:4;15:3;20:3
5,01/04/2025,10/04/2025,SELF_DELIVERING,SCHEDULED,Noa,0549988776,Beer Sheva,noa@example.com,324.9,20:3;9:4;16:7;19:2
